TIME,DEVICE NAME,TEMP (Celsius),HUMIDITY(%),DATE_ONLY
2025-10-27 00:22:53,Module_1,25.0,61.9,2025-10-27
2025-10-27 00:23:58,Module_1,25.1,61.5,2025-10-27
2025-10-27 00:25:02,Module_1,25.1,61.8,2025-10-27
2025-10-27 00:26:06,Module_1,25.1,61.8,2025-10-27
2025-10-27 00:27:10,Module_1,25.1,61.7,2025-10-27
2025-10-27 00:28:15,Module_1,25.6,66.4,2025-10-27
2025-10-27 00:34:12,Module_1,25.3,62.6,2025-10-27
2025-10-27 00:35:19,Module_1,25.0,61.5,2025-10-27
2025-10-27 00:36:27,Module_1,25.0,61.7,2025-10-27
2025-10-27 00:37:32,Module_1,25.0,61.7,2025-10-27
2025-10-27 00:38:42,Module_1,25.5,67.5,2025-10-27
2025-10-27 00:39:47,Module_1,27.4,95.0,2025-10-27
2025-10-27 00:40:53,Module_1,25.5,89.3,2025-10-27
2025-10-27 00:41:58,Module_1,25.1,71.3,2025-10-27
2025-10-27 00:43:02,Module_1,25.0,67.4,2025-10-27
2025-10-27 00:44:07,Module_1,24.9,65.8,2025-10-27
2025-10-27 00:45:12,Module_1,24.9,64.7,2025-10-27
2025-10-27 00:46:17,Module_1,24.9,63.9,2025-10-27
2025-10-27 00:47:22,Module_1,24.9,63.5,2025-10-27
2025-10-27 00:48:28,Module_1,24.9,63.2,2025-10-27
2025-10-27 00:49:33,Module_1,24.9,63.2,2025-10-27
2025-10-27 00:50:38,Module_1,24.9,63.0,2025-10-27
2025-10-27 00:51:42,Module_1,24.9,63.0,2025-10-27
2025-10-27 00:52:47,Module_1,24.9,63.0,2025-10-27
2025-10-27 00:53:53,Module_1,24.9,63.6,2025-10-27
2025-10-27 00:55:00,Module_1,25.0,63.6,2025-10-27
2025-10-27 00:56:04,Module_1,25.0,63.2,2025-10-27
2025-10-27 00:57:09,Module_1,25.0,63.3,2025-10-27
2025-10-27 00:58:13,Module_1,25.0,63.2,2025-10-27
2025-10-27 00:59:18,Module_1,25.0,63.0,2025-10-27
2025-10-27 01:00:22,Module_1,25.1,63.2,2025-10-27
